@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE DIA NUMERIC
@ATTRIBUTE LOBJOIS NUMERIC
@ATTRIBUTE BASE NUMERIC
@ATTRIBUTE UNIT NUMERIC
@ATTRIBUTE SP NUMERIC
@ATTRIBUTE LS NUMERIC
@ATTRIBUTE LP NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
ps_300_312_20.cnf,1.0,10.16,2.09,?,0.23,11.05,7.01,?,3.735376119613648
01-integer-programming-5-10-100.cnf,1.0,10.01,2.0,4.75,0.39,2.3,4.5,?,0
schup-l2s-bc56s-1-k391.cnf,1.0,10.04,2.0,52.56,17.31,8.46,5.08,?,0
Kakuro-easy-126-ext.xml.hg_7.cnf,1.0,11.6,2.0,?,1.5,?,?,?,0
Timetable_C_466_E_50_Cl_31_S_28.cnf,1.0,10.09,2.12,77.31,0.86,10.58,6.67,?,1.2189762592315674
TT7F-33-24A.cnf,1.0,10.04,2.12,41.32000000000001,3.73,48.82,8.969999999999999,?,0
lang28.cnf.gz.CP3-cnfmiter.cnf,1.0,?,?,?,?,?,?,?,0
TT7F-34-27.cnf,1.0,10.1,2.0,40.269999999999996,2.49,28.42,6.9,?,0
bv-term-small-rw_1159.smt2.cnf,1.0,1.66,2.0,6.199999999999999,0.12,0.14,5.26,?,0
sted4_0x1e3-124.cnf,1.0,0.72,2.0,15.62,0.08,0.33,4.82,?,0
size_5_5_5_i260_r12.cnf,1.0,0.57,2.0,3.5,0.01,0.22,5.07,?,0.006465196609497
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_31944661.cnf,1.0,10.01,2.0,23.540000000000003,0.35,3.12,4.58,?,0
combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.72,2.0,20.080000000000002,0.03,0.48,4.71,?,0
60-129673.cnf,1.0,10.02,2.08,23.22,1.93,6.81,5.15,?,0
rbsat-v760c43649g8.cnf,1.0,0.94,2.0,20.16,2.4,1.36,4.43,?,0
w19-20.0.cnf,1.0,10.01,2.0,31.47,0.03,5.77,4.55,?,0
LABS_n071_goal001-sc2013.cnf,1.0,10.02,2.03,34.41,5.37,6.64,4.5,?,0
SAT_dat.k80.cnf,1.0,10.01,2.0,21.03,0.48,5.51,5.09,?,0.0328524112701416
Timetable_C_392_E_62_Cl_26_S_28.cnf,1.0,10.15,2.01,67.62,1.1,9.2,6.4,?,1.056938409805298
vlsat2_34161_4607712.dimacs.cnf,1.0,?,4.48,?,?,?,?,?,0.3531925678253174
w15.cnf,1.0,0.91,2.0,12.48,0.02,0.46,4.4399999999999995,?,0.0102171897888183
ps_200_305_70.cnf,1.0,10.04,2.01,?,0.13,8.73,5.98,?,1.682024002075195
mulhs16.smt2.cnf,1.0,0.83,2.0,0.46,0.06,0.12,5.51,?,0.0071737766265869
TT7F-34-24D.cnf,1.0,10.07,2.18,52.370000000000005,5.03,?,11.29,?,0
Steiner-45-16-bce.cnf,1.0,0.0,1.83,0.48,0.0,0.1,5.609999999999999,?,0
sv-comp19_prop-reachsafety.queue_longer_false-unreach-call.i-witness.cnf,1.0,?,?,?,?,?,?,?,0
Kakuro-easy-132-ext.xml.hg_9.cnf,1.0,10.39,2.12,?,4.53,?,38.22,?,0
DLTM_twitter799_70_12.cnf,1.0,10.01,2.0,4.12,0.02,0.65,4.69,?,0.021285057067871
combined-crypto1-wff-seed-132-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.71,2.0,20.150000000000002,0.02,0.48,4.73,?,0
newpol6-6.cnf,1.0,10.01,2.0,21.310000000000002,4.8,1.51,4.49,?,0
preimage_80r_492m_160h_seed_136.cnf,1.0,10.01,2.0,16.81,0.1,1.56,4.62,?,0.0602619647979736
abw-X-can__715.mtx-w103.cnf,1.0,11.48,3.38,?,5.37,?,15.21,?,0
sgen4-unsat-89-1.cnf,1.0,0.0,0.71,0.0,0.0,0.0,1.6,?,0
preimage_80r_495m_160h_seed_379.cnf,1.0,10.01,2.0,17.17,0.06,1.6,4.640000000000001,81.28,0.0586297512054443
vlsat2_35929_5082743.dimacs.cnf,1.0,?,?,?,?,?,?,?,0.3852298259735107
size_5_5_5_i053_r12.cnf,1.0,0.4,2.0,2.81,0.01,0.18,5.18,?,0.0061593055725097
sted1_0x0-649.cnf,1.0,10.01,2.0,20.94,0.37,1.65,4.6899999999999995,?,0
preimage_80r_490m_160h_seed_150.cnf,1.0,10.01,2.01,17.19,0.05,1.59,4.68,?,0.0608234405517578
newpol4-6.cnf,1.0,8.36,2.0,4.84,1.42,0.55,4.890000000000001,?,0
mm-2x3-8-8-sb.1.sat05-475.reshuffled-07.cnf,1.0,10.01,2.0,20.35,1.07,2.55,4.57,?,0
Timetable_C_181_E_34_Cl_12_S_6.cnf,1.0,10.01,2.02,25.57,0.02,6.7,4.58,?,0.1545953750610351
combined-crypto1-wff-seed-133-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.74,2.0,20.12,0.02,0.49,4.75,?,0
full-bg-gb-7-ce.cnf,1.0,3.57,2.0,20.28,0.35,0.41,4.98,?,0
Timetable_C_437_E_62_Cl_29_S_28.cnf,1.0,10.13,2.02,?,0.81,10.68,6.59,?,1.2206079959869385
ps_200_317_70.cnf,1.0,10.06,2.05,?,0.14,9.16,6.02,?,1.8660340309143064
Kakuro-easy-149-ext.xml.hg_4.cnf,1.0,10.76,2.15,?,0.14,?,?,?,0
size_4_5_5_i000_w31_r9.cnf,1.0,0.15,2.0,1.28,0.0,0.1,5.34,?,0.0053105354309082
battleship-24-47-sat.cnf,1.0,0.4,2.0,18.63,0.06,0.67,4.92,?,0
6g_5color_170_030_04.cnf,1.0,10.03,2.03,21.740000000000002,0.81,5.04,4.76,?,0.0300853252410888
baseballcover13with25_and1positions.cnf,1.0,?,?,?,?,?,?,23.6,0.0451536178588867
tseitingrid7x165_shuffled.cnf,1.0,1.17,2.0,0.27,0.01,0.12,5.44,?,0.0092608928680419
ncc_none_21015_5_3_3_0_0_11.cnf,1.0,?,?,?,?,?,?,?,71.80346417427063
Timetable_C_241_E_45_Cl_16_S_16.cnf,1.0,10.01,2.01,34.17,0.93,8.17,5.0600000000000005,?,0.3873846530914306
fermat-770131695059117.cnf,1.0,1.9,2.0,0.85,0.04,0.23,5.14,283.25,0
TT7F-33-24C.cnf,1.0,10.06,2.21,42.85,3.43,48.66,8.84,?,0
ncc_none_3047_7_3_3_1_0_1.cnf,1.0,10.03,6.24,?,2.98,30.02,11.969999999999999,?,71.91560506820679
preimage_80r_491m_160h_seed_71.cnf,1.0,10.01,2.0,17.05,0.05,1.69,4.67,?,0.06134033203125
sqrt_ineq_3.c.cnf,1.0,10.03,2.02,33.73,5.28,6.83,4.71,?,0.4229614734649658
mp1-blockpuzzle_5x10_s7_free4.cnf,1.0,5.89,2.0,20.490000000000002,1.07,4.35,4.49,?,0
DLTM_twitter845_79_19.cnf,1.0,10.01,2.0,8.709999999999999,0.04,1.4,4.6,120.73,0.0393197536468505
size_4_4_4_i4096_r8.cnf,1.0,0.06,2.0,0.55,0.0,0.06,5.52,?,0.0048198699951171
ncc_none_2_17_4_3_0_0_435991723.cnf,1.0,10.46,21.0,?,5.93,33.21,14.42,?,82.07031035423279
Kakuro-easy-148-ext.xml.hg_8.cnf,1.0,10.93,2.0,?,3.99,?,35.46,?,0
Steiner-9-5-bce.cnf,1.0,0.0,0.18,0.0,0.0,0.0,0.33999999999999997,0.0,0
preimage_80r_493m_160h_seed_457.cnf,1.0,10.01,2.0,16.759999999999998,0.02,1.72,4.62,?,0.0621063709259033
Steiner-729-113-bce.cnf,1.0,10.01,2.0,43.97,0.03,16.71,4.4,?,0
rbsat-v2400c266431gyes7.cnf,1.0,10.01,2.0,21.48,11.07,6.12,4.470000000000001,?,0
abw-K-dwt__234.mtx-w51.cnf,1.0,10.01,2.0,3.51,0.03,5.45,4.59,133.83,0
VanDerWaerden_2-3-32_1006.cnf,1.0,10.02,2.0,20.71,0.19,6.09,4.46,?,0
size_4_5_5_i031_w31_r9.cnf,1.0,0.15,2.0,1.26,0.0,0.1,5.359999999999999,?,0.0049800872802734
Timetable_C_151_E_34_Cl_10_S_4.cnf,1.0,10.02,2.02,23.82,0.03,6.36,4.550000000000001,?,0.104485273361206
ncc_none_2_18_9_3_0_0_435991723.cnf,1.0,10.12,?,?,3.37,?,15.71,?,43.07584881782532
vlsat2_15440_1409906.dimacs.cnf,1.0,10.06,2.42,36.67,?,12.9,5.95,?,0.0822696685791015
newpol36-4.cnf,1.0,10.66,2.36,?,?,?,?,?,0
DLTM_twitter690_74_16.cnf,1.0,10.01,2.0,10.6,0.02,1.66,4.529999999999999,?,0.0592622756958007
ps_200_306_70.cnf,1.0,10.01,2.02,?,0.13,8.71,6.02,?,1.7196450233459473
49-133485.cnf,1.0,10.01,2.02,23.950000000000003,2.37,7.74,5.24,?,0
homer17.shuffled.cnf,1.0,0.0,2.0,0.28,0.0,0.03,5.49,?,0.0061256885528564
170104584.cnf,1.0,0.01,2.0,0.01,0.0,0.0,6.3100000000000005,?,0.0059404373168945
mrpp_8x8#24_14.cnf,1.0,10.01,2.0,19.07,0.0,1.69,5.109999999999999,?,0.0189878940582275
ps_200_316_70.cnf,1.0,10.05,2.01,?,0.15,9.32,6.18,?,1.866904020309448
ps_300_301_30.cnf,1.0,10.04,2.09,?,0.21,12.86,6.88,?,3.408250570297241
4g_6color_366_060_06.cnf,1.0,10.15,2.05,43.93,20.14,15.41,9.690000000000001,?,0.1114306449890136
g2-T83.2.1.cnf,1.0,10.29,2.04,?,?,?,?,?,0
53-131174.cnf,1.0,10.02,2.1,23.46,1.92,7.0,5.109999999999999,?,0
b1904P1-8x8c6h7SAT.cnf,1.0,10.02,2.01,22.16,0.48,6.22,5.0,?,0
abw-K-dwt__234.mtx-w55.cnf,1.0,10.01,2.0,3.66,0.03,5.34,4.58,?,0
170222843.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.2,2.63,0.0035979747772216
grain-53-80-0s0-seed-125-4-init-35.cnf,1.0,1.22,2.0,20.11,0.27,0.85,4.42,?,0
rbsat-v2640c305320g4.cnf,1.0,10.01,2.02,24.05,19.15,6.37,4.5,?,0
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,1.0,10.02,2.01,23.44,0.33,2.96,4.66,?,0
hid-uns-enc-6-1-0-0-0-0-27601.cnf,1.0,0.32,2.0,0.26,0.0,0.13,6.01,?,0
sted5_0x0-157.cnf,1.0,3.0,2.0,20.14,0.23,0.44,4.73,117.0,0
abw-I-ash85.mtx-w25.cnf,1.0,10.01,2.0,1.81,0.02,5.01,4.91,?,0
abw-Q-494_bus.mtx-w242.cnf,1.0,10.2,2.11,?,0.13,16.66,6.57,?,0
170225812.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.3100000000000005,?,0.0038774013519287
Steiner-729-112-bce.cnf,1.0,10.01,2.0,43.68,0.03,16.81,4.390000000000001,?,0
b2005-p2-14x14c17h9-Ser3-0.cnf,1.0,?,?,?,?,?,?,?,0
rook-42-0-1.cnf,1.0,10.01,2.0,26.77,5.35,3.78,4.33,?,0
Kakuro-easy-120-ext.xml.hg_6.cnf,1.0,10.05,2.05,?,4.36,?,?,?,0
fermat-907547022132073.cnf,1.0,1.72,2.0,0.85,0.04,0.23,5.08,?,0
baseballcover11with22_and2positions.cnf,1.0,?,?,?,?,?,?,?,0.0710930824279785
cz-alt-3-7.cnf,1.0,10.01,2.0,8.0,1.99,0.73,4.35,?,0
ncc_none_21015_5_3_3_1_0_11.cnf,1.0,?,?,?,?,?,?,?,69.85363578796387
Nb51T6-sc2018.cnf,1.0,?,?,?,?,?,?,?,0
Kakuro-easy-117-ext.xml.hg_5.cnf,1.0,11.27,2.14,?,3.14,?,29.189999999999998,?,0
abw-N-bcsstk07.mtx-w38.cnf,1.0,10.33,2.36,?,0.59,21.05,10.77,?,0
full-bg-gb-8-ce.cnf,1.0,8.72,2.0,20.430000000000003,0.34,0.58,4.960000000000001,?,0
6s20.cnf,1.0,10.01,2.0,21.46,0.21,3.81,4.890000000000001,?,0.0486054420471191
170153306.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.25,?,0.0036118030548095
Steiner-135-33-bce.cnf,1.0,0.43,2.0,20.11,0.03,3.44,4.79,?,0
vlsat2_16676_1598591.dimacs.cnf,1.0,10.01,2.72,38.67,?,20.76,6.42,?,0.1239354610443115
problem_23.smt2.cnf,1.0,0.89,2.0,0.77,0.02,0.19,5.4,?,0.0191435813903808
ps_200_300_70.cnf,1.0,10.08,2.03,?,0.12,8.88,5.970000000000001,?,1.644552230834961
Timetable_C_497_E_62_Cl_33_S_30.cnf,1.0,10.11,2.03,?,0.92,12.74,7.04,?,1.5152533054351809
crafted_n11_d6_c4_num19.cnf,1.0,?,?,?,?,?,?,?,0
baseballcover11with25_and5positions.cnf,1.0,?,?,?,?,?,?,?,0.0782301425933837
baseballcover14with25_and1positions.cnf,1.0,?,?,?,?,?,?,?,0.0416948795318603
53-131587.cnf,1.0,10.03,2.13,23.46,2.05,7.35,5.17,?,0
4g_5color_168_100_02.cnf,1.0,?,?,?,?,?,?,?,0.9829597473144532
lang23.cnf.gz.CP3-cnfmiter.cnf,1.0,?,?,?,?,?,?,?,0
preimage_80r_491m_160h_seed_7.cnf,1.0,10.01,2.01,18.59,0.03,1.73,4.59,?,0.0655982494354248
QG7a-gensys-ukn009.sat05-3849.reshuffled-07.cnf,1.0,3.82,2.0,20.130000000000003,0.12,0.97,5.91,?,0
170154931.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.24,?,0.0055820941925048
frb59-26-1.used-as.sat04-891.cnf,1.0,7.46,2.01,20.610000000000003,6.86,5.54,4.33,?,0
abw-O-impcol_d.mtx-w101.cnf,1.0,10.2,2.24,?,0.18,14.43,7.21,?,0
e_rphp096_04.cnf,1.0,0.25,2.0,20.150000000000002,0.01,0.39,5.11,?,0.0205085277557373
size_4_5_5_i032_w31_r9.cnf,1.0,0.15,2.0,1.26,0.0,0.1,5.35,?,0.0043227672576904
baseballcover13with25_and3positions.cnf,1.0,?,?,?,?,?,?,?,0.0519943237304687
DLTM_twitter799_70_13.cnf,1.0,10.01,2.0,4.08,0.01,0.63,4.75,?,0.020892858505249
49-133045.cnf,1.0,10.01,2.07,23.46,1.84,7.07,5.16,?,0
ssAES_4-4-4_round_7-10_faultAt_7_fault_injections_2_seed_1564286498.cnf,1.0,2.76,2.0,1.06,0.0,0.2,5.25,?,0
Kakuro-easy-154-ext.xml.hg_4.cnf,1.0,10.58,2.02,76.91,2.1,?,27.18,?,0
abw-I-ash85.mtx-w24.cnf,1.0,10.01,2.0,1.79,0.02,5.23,4.92,?,0
uum12.smt2.cnf,1.0,0.03,2.0,0.45999999999999996,0.01,0.02,6.24,?,0.0050520896911621
VanDerWaerden_2-3-16_238.cnf,1.0,0.1,2.0,20.03,0.02,0.5,4.390000000000001,?,0
ps_300_311_20.cnf,1.0,10.06,2.23,?,0.22,11.0,7.02,?,3.6970272064208975
preimage_80r_494m_160h_seed_378.cnf,1.0,10.01,2.01,15.66,0.11,1.53,4.630000000000001,?,0.0581974983215332
mp1-9_49.cnf,1.0,0.44,2.0,20.150000000000002,0.04,0.39,4.5600000000000005,?,0
g2-hwmcc15deep-bobpcihm-k31.cnf,1.0,10.01,2.0,?,0.37,20.09,4.52,?,0
w19-49.0.cnf,1.0,8.62,2.0,28.12,0.03,5.14,4.5,67.03,0
ps_200_301_70.cnf,1.0,10.01,2.11,?,0.12,8.67,5.99,?,1.6376311779022217
4g_5color_166_100_02.cnf,1.0,?,?,?,?,?,?,?,0.9552135467529296
Steiner-243-45-bce.cnf,1.0,3.44,2.0,20.66,0.0,5.1,4.46,?,0
170225515.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.27,?,0.0049986839294433
abw-R-dwt__503.mtx-w64.cnf,1.0,10.28,2.29,?,0.58,25.69,10.91,?,0
problem_21.smt2.cnf,1.0,?,?,?,?,?,?,?,0.009521484375
combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.71,2.0,20.099999999999998,0.02,0.49,4.74,?,0
Kakuro-easy-052-ext.xml.hg_4.cnf,1.0,10.08,2.0,34.65,0.56,16.1,10.59,?,0
hid-uns-enc-6-1-0-0-0-0-26462.cnf,1.0,0.32,2.0,0.2,0.0,0.11,6.130000000000001,?,0
tseitingrid7x185_shuffled.cnf,1.0,1.5,2.0,0.32999999999999996,0.01,0.15,5.2,2.36,0.0082008838653564
abw-K-dwt__234.mtx-w54.cnf,1.0,10.01,2.0,3.61,0.03,5.4,4.58,?,0
size_5_5_5_i003_r12.cnf,1.0,0.58,2.0,3.48,0.0,0.21,5.0600000000000005,?,0.0050432682037353
sted2_0x0_n219-342.cnf,1.0,10.01,2.0,20.740000000000002,0.27,3.37,4.970000000000001,115.89,0
fermat-33106286870663.cnf,1.0,1.08,2.0,0.63,0.03,0.18,5.34,?,0
mp1-squ_any_s09x07_c27_bail_UNS.cnf,1.0,0.01,2.0,0.34,0.0,0.13,5.84,?,0
rphp4_090_shuffled.cnf,1.0,0.37,2.0,20.1,0.02,0.49,4.91,?,0.005843162536621
59-131147.cnf,1.0,10.02,2.02,23.4,2.05,7.02,5.140000000000001,?,0
b2005-p1-12x12c10h7-Ser8-0.cnf,1.0,10.09,2.19,53.75,25.53,12.81,7.48,?,0
Steiner-243-46-bce.cnf,1.0,3.47,2.0,20.689999999999998,0.0,5.61,4.4399999999999995,?,0
3bitadd_32.cnf.gz.CP3-cnfmiter.cnf,1.0,10.01,2.0,?,0.99,?,4.32,?,0
Timetable_C_241_E_45_Cl_16_S_14.cnf,1.0,10.03,2.02,33.09,0.82,7.58,4.970000000000001,?,0.3721520900726318
full-bg-gb-6-ce.cnf,1.0,1.45,2.0,19.810000000000002,0.38,0.22,5.0600000000000005,?,0
baseballcover12with23_and2positions.cnf,1.0,?,?,?,?,?,?,?,0.0488789081573486
8-5-6.cnf,1.0,10.06,2.02,27.54,25.44,8.96,5.92,?,0
ls15-normalized.cnf.gz.CP3-cnfmiter.cnf,1.0,10.01,2.0,?,7.17,?,4.27,?,0
TT7F-34-26.cnf,1.0,10.04,2.14,50.0,2.98,41.41,8.18,?,0
59-129706.cnf,1.0,10.01,2.0,23.24,1.87,6.99,5.12,?,0
fermat-931960058139995587.cnf,1.0,3.43,2.0,1.3,0.06,0.32,4.94,?,0
post-cbmc-aes-ee-r2.cnf,1.0,10.01,2.01,40.160000000000004,0.44,6.26,4.93,?,0
rbcl_xits_08_UNSAT.cnf,1.0,1.56,2.0,24.59,3.78,3.01,4.140000000000001,?,0.0078082084655761
ssAES_4-4-8_round_7-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,1.0,10.01,2.0,24.240000000000002,0.31,3.93,4.68,?,0
Steiner-405-70-bce.cnf,1.0,10.01,2.0,23.59,0.07,5.61,4.32,?,0
dislog_a09_x11_n20.cnf,1.0,10.01,2.0,6.930000000000001,0.01,0.5,5.01,?,0.0167183876037597
Timetable_C_392_E_50_Cl_26_S_28.cnf,1.0,10.02,2.11,?,1.47,9.37,6.199999999999999,?,0.9914963245391846
hid-uns-enc-6-1-0-0-0-0-14492.cnf,1.0,0.34,2.0,0.21,0.0,0.11,6.12,?,0
vlsat2_39552_5878762.dimacs.cnf,1.0,?,?,?,?,?,?,?,0.4698057174682617
vlsat2_40170_5970608.dimacs.cnf,1.0,10.3,5.38,?,?,?,?,?,0.4761202335357666
vlsat2_15960_1464039.dimacs.cnf,1.0,10.01,2.13,34.85,?,13.49,6.01,?,0.1019039154052734
stable-300-0.1-20-98765432130020.cnf,1.0,0.49,2.0,20.28,2.06,5.16,4.26,?,0
22930-0601-11.smt2.cnf,1.0,0.66,2.0,0.63,0.02,0.11,5.34,?,0
combined-crypto1-wff-seed-115-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.74,2.0,20.18,0.03,0.49,4.710000000000001,?,0
traffic_kkb_unknown.cnf,1.0,10.01,2.01,22.76,0.38,7.08,5.16,?,0.068411111831665
DLTM_twitter405_71_12.cnf,1.0,3.78,2.0,1.9500000000000002,0.03,0.29,5.23,?,0.0111556053161621
problem_19.smt2.cnf,1.0,0.87,2.0,20.310000000000002,0.14,0.32,5.4,?,0.0171210765838623
ACG-15-10p1.cnf,1.0,10.03,2.03,52.44,0.29,7.14,5.029999999999999,?,0
