@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE lp NUMERIC
@ATTRIBUTE unit NUMERIC

@DATA
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5307.cnf,1.0,3.28,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc994.cnf,1.0,4.65,0.05,3.59,61.46,2.01,2.0,2.5,2.24,2.3,2.0,64.99,1.34
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3760.cnf,1.0,3.02,0.07,8.98,60.08,2.01,1.99,2.78,2.36,2.41,2.03,61.13,0.17
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3504.cnf,1.0,0.02,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3501.cnf,1.0,0.01,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1131.cnf,1.0,0.02,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9454.cnf,1.0,1.17,0.01,0.0,9.62,0.23,0.02,0.14,2.11,2.29,2.0,60.32,0.08
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3903.cnf,1.0,2.53,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3841.cnf,1.0,3.06,0.03,2.22,60.05,2.01,2.0,2.4,2.2,2.34,2.0,68.52,0.21
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3695.cnf,1.0,1.47,0.03,0.79,60.03,2.01,2.0,2.23,2.12,2.39,2.0,95.45,0.28
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3958.cnf,1.0,3.61,0.05,2.33,60.1,2.01,1.99,2.48,2.19,2.38,2.01,68.14,0.33
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1032.cnf,1.0,0.0,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1262.cnf,1.0,5.94,0.05,5.52,60.03,2.02,2.0,2.79,2.33,2.36,2.01,62.74,1.36
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9443.cnf,1.0,0.08,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1088.cnf,1.0,2.41,0.03,1.62,60.23,2.01,2.0,2.43,2.22,2.28,2.0,63.78,0.91
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9396.cnf,1.0,0.08,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5531.cnf,1.0,3.05,0.01,0.11,61.6,2.01,0.18,2.24,2.13,2.18,2.0,74.68,1.39
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3634.cnf,1.0,0.5,0.01,0.01,28.37,0.6,0.04,0.29,2.13,2.54,2.0,60.86,0.27
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc1093.cnf,1.0,2.24,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3872.cnf,1.0,2.26,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3773.cnf,1.0,0.38,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3685.cnf,1.0,1.15,0.01,0.19,60.05,2.01,0.28,1.99,2.1,2.33,2.0,71.82,0.39
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3948.cnf,1.0,3.39,0.03,2.33,60.09,2.01,1.99,2.49,2.2,2.37,2.0,68.82,0.34
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc888.cnf,1.0,0.01,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9474.cnf,1.0,1.15,0.01,0.01,10.5,0.24,0.03,0.16,2.17,2.28,2.0,60.38,0.1
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc909.cnf,1.0,4.48,0.04,3.28,60.97,2.01,2.0,2.6,2.25,2.33,2.01,64.83,0.11
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1063.cnf,1.0,0.12,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3770.cnf,1.0,0.35,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3671.cnf,1.0,0.95,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3934.cnf,1.0,3.32,0.03,2.31,60.07,2.01,2.0,2.45,2.2,2.32,2.0,68.46,0.4
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3511.cnf,1.0,0.32,0.0,0.01,1.18,0.43,0.02,0.29,2.18,2.47,2.0,60.45,0.34
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9628.cnf,1.0,1.06,0.0,0.01,9.38,0.22,0.01,0.1,2.18,2.25,2.0,60.26,0.24
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9460.cnf,1.0,1.11,0.0,0.0,9.75,0.22,0.02,0.15,2.11,2.23,2.0,50.73,0.07
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1217.cnf,1.0,0.0,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3500.cnf,1.0,0.01,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1042.cnf,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.32,0.0,0.0
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1087.cnf,1.0,2.42,0.03,1.6,60.18,2.01,2.0,2.4,2.18,2.34,2.0,63.3,0.92
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9453.cnf,1.0,1.27,0.01,0.0,9.8,0.23,0.02,0.16,2.16,2.24,2.0,60.41,0.0
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1098.cnf,1.0,2.44,0.02,1.64,60.17,2.01,0.86,2.52,2.16,2.28,2.0,62.96,0.97
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3531.cnf,1.0,0.34,0.01,0.01,1.34,0.45,0.02,0.32,2.17,2.56,2.0,60.4,0.38
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1060.cnf,1.0,4.92,0.04,2.73,60.19,2.02,2.0,2.45,2.2,2.29,2.01,65.31,1.39
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3965.cnf,1.0,0.37,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1084.cnf,1.0,2.43,0.02,1.6,60.19,2.01,0.49,2.44,2.18,2.31,2.0,63.75,0.98
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3706.cnf,1.0,1.87,0.01,0.19,60.01,2.01,0.26,1.98,2.15,2.31,2.0,72.62,0.39
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1073.cnf,1.0,5.11,0.11,34.19,60.05,2.04,2.02,3.58,2.66,2.62,2.01,60.81,20.44
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56671.cnf,1.0,2.6,0.02,1.36,60.01,2.01,1.42,2.29,2.14,2.32,2.0,64.63,0.17
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3477.cnf,1.0,0.01,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3638.cnf,1.0,0.5,0.0,0.01,26.64,0.61,0.04,0.3,2.17,2.49,2.0,60.95,0.27
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5313.cnf,1.0,3.4,0.01,0.11,60.03,2.01,0.18,2.23,2.15,2.22,2.0,84.53,3.15
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3726.cnf,1.0,1.95,0.04,2.56,60.08,2.01,2.01,2.46,2.2,2.33,2.0,66.96,0.22
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9624.cnf,1.0,1.04,0.01,0.0,9.42,0.23,0.01,0.1,2.17,2.26,2.0,60.26,0.24
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1083.cnf,1.0,2.42,0.03,1.59,60.01,2.01,0.66,2.42,2.19,2.26,2.0,63.61,0.94
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc174.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3705.cnf,1.0,1.49,0.0,0.2,60.04,2.01,0.23,2.09,2.12,2.3,2.0,46.63,0.37
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3716.cnf,1.0,1.75,0.03,0.78,60.11,2.01,2.0,2.24,2.14,2.31,2.0,97.82,0.22
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3804.cnf,1.0,0.38,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1094.cnf,1.0,2.49,0.04,1.62,60.23,2.01,2.0,2.39,2.18,2.3,2.0,63.52,0.94
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9406.cnf,1.0,0.89,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3617.cnf,1.0,0.48,0.0,0.04,60.08,2.01,0.11,0.68,2.09,2.33,2.0,61.98,0.36
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3702.cnf,1.0,1.39,0.0,0.2,60.14,2.01,0.15,2.08,2.13,2.32,2.0,46.69,0.39
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc167.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc1103.cnf,1.0,5.11,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc961.cnf,1.0,0.3,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9480.cnf,1.0,1.14,0.0,0.01,9.69,0.22,0.02,0.14,2.18,2.29,2.0,50.56,0.07
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc153.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc950.cnf,1.0,2.05,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3954.cnf,1.0,0.4,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3940.cnf,1.0,3.34,0.04,2.33,60.07,2.01,2.0,2.47,2.2,2.35,2.0,68.04,0.33
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3473.cnf,1.0,0.0,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc901.cnf,1.0,4.54,0.05,3.48,60.27,2.01,2.0,2.48,2.25,2.33,2.01,64.41,0.58
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc976.cnf,1.0,2.42,0.04,1.52,60.27,2.01,0.45,2.38,2.2,2.26,2.0,63.54,0.96
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9416.cnf,1.0,0.84,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1093.cnf,1.0,2.4,0.02,1.58,60.1,2.01,0.5,2.39,2.17,2.3,2.0,63.32,0.69
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9620.cnf,1.0,1.04,0.0,0.01,9.38,0.23,0.02,0.1,2.15,2.32,2.0,60.33,0.24
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1110.cnf,1.0,0.02,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3886.cnf,1.0,0.38,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc173.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1077.cnf,1.0,5.11,0.12,34.27,60.05,2.01,1.86,3.38,2.67,2.62,2.03,60.79,18.87
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3668.cnf,1.0,0.79,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3712.cnf,1.0,1.79,0.01,0.78,60.02,2.01,2.02,2.22,2.13,2.31,2.0,97.89,0.27
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3569.cnf,1.0,0.37,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3800.cnf,1.0,0.37,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5317.cnf,1.0,3.36,0.02,0.1,60.03,2.01,0.19,2.24,2.12,2.24,2.0,65.38,3.2
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc163.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc960.cnf,1.0,1.87,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3746.cnf,1.0,2.09,0.04,3.3,60.03,2.02,2.01,2.45,2.25,2.37,2.0,64.07,0.2
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3647.cnf,1.0,0.6,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1068.cnf,1.0,4.86,0.03,2.71,60.23,2.01,2.0,2.43,2.2,2.33,2.0,65.57,2.57
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3483.cnf,1.0,0.01,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3545.cnf,1.0,0.38,0.0,0.02,35.06,1.39,0.07,0.56,2.15,2.34,2.0,61.3,0.46
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1015.cnf,1.0,0.01,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1146.cnf,1.0,5.92,0.05,5.9,61.6,2.02,1.99,2.79,2.33,2.36,2.0,62.51,1.27
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9630.cnf,1.0,1.03,0.0,0.01,9.85,0.22,0.02,0.11,2.15,2.25,2.0,60.26,0.24
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc972.cnf,1.0,2.4,0.03,1.5,60.01,2.01,2.0,2.37,2.16,2.27,2.0,63.51,0.95
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3896.cnf,1.0,0.42,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3664.cnf,1.0,0.79,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5327.cnf,1.0,2.2,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9484.cnf,1.0,1.11,0.0,0.01,10.16,0.23,0.03,0.14,2.17,2.21,2.0,50.35,0.07
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3722.cnf,1.0,1.83,0.01,0.19,60.11,2.01,0.18,2.08,2.11,2.31,2.0,71.57,0.37
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9412.cnf,1.0,0.08,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1033.cnf,1.0,4.81,0.04,3.27,60.75,2.02,2.0,2.64,2.23,2.3,2.01,64.8,0.54
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1104.cnf,1.0,2.4,0.02,1.54,60.16,2.01,0.6,2.38,2.15,2.35,2.0,63.52,1.01
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1046.cnf,1.0,2.67,0.04,1.9,60.17,2.01,0.51,2.41,2.19,2.28,2.0,63.3,0.97
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3960.cnf,1.0,0.42,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1046.cnf,1.0,0.08,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1039.cnf,1.0,2.61,0.04,1.83,60.1,2.01,2.01,2.55,2.19,2.31,2.0,62.99,1.21
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1108.cnf,1.0,0.05,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1025.cnf,1.0,2.6,0.02,1.76,60.13,2.01,0.62,2.49,2.18,2.27,2.0,63.2,0.96
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3742.cnf,1.0,2.01,0.03,2.54,60.08,2.01,2.0,2.5,2.2,2.34,2.01,66.07,0.19
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3643.cnf,1.0,0.62,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3640.cnf,1.0,0.48,0.0,0.01,27.86,0.7,0.05,0.3,2.17,2.46,2.0,60.46,0.35
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1097.cnf,1.0,0.03,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56695.cnf,1.0,0.28,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3575.cnf,1.0,0.44,0.01,0.03,42.83,2.01,0.07,0.67,2.14,2.38,2.0,61.87,0.48
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3688.cnf,1.0,1.18,0.01,0.2,60.05,2.01,0.26,1.98,2.12,2.3,2.0,72.36,0.39
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3589.cnf,1.0,0.47,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3937.cnf,1.0,3.34,0.03,2.32,60.1,2.01,2.0,2.46,2.2,2.34,2.0,68.86,0.34
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1103.cnf,1.0,2.32,0.03,1.56,60.05,2.01,1.96,2.37,2.17,2.38,2.0,63.45,1.05
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3586.cnf,1.0,0.47,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3721.cnf,1.0,1.8,0.03,1.82,60.04,2.01,2.0,2.41,2.2,2.37,2.0,72.35,0.46
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1230.cnf,1.0,5.87,0.05,5.98,60.43,2.03,1.99,2.73,2.35,2.37,2.01,62.24,1.74
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1011.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3487.cnf,1.0,0.01,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3633.cnf,1.0,0.49,0.0,0.02,26.42,0.62,0.03,0.3,2.09,2.34,2.0,60.82,0.26
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3674.cnf,1.0,0.83,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5323.cnf,1.0,3.34,0.02,0.11,60.01,2.01,0.19,2.29,2.15,2.24,2.01,84.7,3.25
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1100.cnf,1.0,2.37,0.03,1.54,60.28,2.01,1.77,2.36,2.2,2.28,2.0,63.87,1.03
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3927.cnf,1.0,3.33,0.04,2.27,60.11,2.01,2.01,2.45,2.2,2.36,2.0,69.39,0.18
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1337.cnf,1.0,5.98,0.06,6.01,61.13,2.01,1.99,2.76,2.35,2.41,2.0,62.3,1.54
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3653.cnf,1.0,0.59,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3916.cnf,1.0,3.3,0.02,2.29,60.1,2.01,2.0,2.46,2.2,2.34,2.0,68.5,0.18
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1107.cnf,1.0,0.03,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1238.cnf,1.0,4.52,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1032.cnf,1.0,2.62,0.04,1.77,60.3,2.01,1.73,2.53,2.21,2.3,2.0,63.53,1.04
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc900.cnf,1.0,0.0,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3650.cnf,1.0,0.48,0.0,0.04,60.15,2.01,0.12,0.68,2.11,2.38,2.0,62.08,0.37
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3869.cnf,1.0,2.24,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1035.cnf,1.0,2.59,0.04,1.8,60.03,2.01,0.56,2.54,2.2,2.31,2.0,63.37,0.98
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3814.cnf,1.0,2.99,0.04,2.19,60.03,2.01,2.0,2.49,2.19,2.34,2.0,68.32,0.21
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc981.cnf,1.0,2.51,0.03,1.55,60.05,2.01,1.99,2.41,2.19,2.29,2.01,63.36,0.97
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1093.cnf,1.0,0.03,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56633.cnf,1.0,2.56,0.03,1.32,60.01,2.01,0.68,2.3,2.18,2.38,2.0,67.34,0.66
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3497.cnf,1.0,0.01,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3684.cnf,1.0,1.13,0.01,0.18,60.02,2.01,0.19,2.08,2.13,2.36,2.0,71.95,0.38
