@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC

@DATA
instances/Sat_Data/circuit_fuzz/fuzz_100_31996.cnf,1.0,0.0,0.0,1.98,0.1,2.14,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_23726.cnf,1.0,0.0,0.0,1.98,0.04,2.26,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_6906.cnf,1.0,0.0,0.0,1.98,0.04,2.18,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_19.cnf,1.0,0.0,0.0,1.98,0.06,2.24,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_31328.cnf,1.0,0.0,0.0,1.98,0.06,2.24,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_10683.cnf,1.0,0.0,0.0,1.98,0.08,2.22,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_11455.cnf,1.0,0.0,0.0,1.98,0.1,2.14,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_810.cnf,1.0,0.0,0.0,1.98,0.08,2.1,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7453.cnf,1.0,0.0,0.0,1.98,0.1,2.2,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_31215.cnf,1.0,0.0,0.0,1.3,0.1,2.16,2.6,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_6593.cnf,1.0,0.02,0.0,1.98,0.24,2.1,2.34,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29882.cnf,1.0,0.0,0.0,1.98,0.18,2.12,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_4329.cnf,1.0,0.0,0.02,1.98,0.24,2.1,2.34,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_26658.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_797.cnf,1.0,0.0,0.0,1.98,0.06,2.16,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_890.cnf,1.0,0.0,0.0,1.98,0.06,2.26,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_16159.cnf,1.0,0.02,0.02,1.98,0.52,2.08,2.24,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13843.cnf,1.0,0.0,0.0,1.98,0.06,2.22,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_6645.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_8354.cnf,1.0,0.0,0.0,1.98,0.06,2.22,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_28413.cnf,1.0,0.02,0.0,0.2,0.38,2.06,2.24,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_968.cnf,1.0,0.0,0.0,1.98,0.12,2.14,2.38,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_26796.cnf,1.0,0.0,0.0,1.98,0.06,2.22,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_4152.cnf,1.0,0.0,0.0,1.98,0.08,2.22,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_5836.cnf,1.0,0.08,0.02,1.98,1.48,2.1,2.12,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_16461.cnf,1.0,0.0,0.0,1.98,0.14,2.16,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_880.cnf,1.0,0.0,0.0,1.98,0.04,2.18,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_14730.cnf,1.0,0.02,0.0,0.62,0.44,2.08,2.3,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_5052.cnf,1.0,0.02,0.0,1.98,0.44,2.1,2.22,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_22056.cnf,1.0,0.0,0.0,1.98,0.18,2.08,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_11340.cnf,1.0,0.18,0.04,1.98,2.56,2.14,2.14,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_8669.cnf,1.0,0.0,0.0,1.96,0.04,2.28,2.6,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_12902.cnf,1.0,0.0,0.0,1.98,0.06,2.2,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_19668.cnf,1.0,0.0,0.0,1.98,0.18,2.12,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_8069.cnf,1.0,0.0,0.0,1.76,0.08,2.2,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_25891.cnf,1.0,0.0,0.0,1.98,0.08,2.14,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_30392.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_12201.cnf,1.0,0.0,0.0,1.98,0.04,2.24,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7979.cnf,1.0,0.0,0.0,1.98,0.14,2.16,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15882.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_12426.cnf,1.0,0.0,0.0,0.62,0.08,2.16,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_30720.cnf,1.0,0.0,0.0,1.98,0.08,2.18,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_21921.cnf,1.0,0.0,0.0,0.96,0.18,2.1,2.32,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_10336.cnf,1.0,0.0,0.0,1.98,0.04,2.24,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_454.cnf,1.0,0.02,0.0,0.88,0.4,2.06,2.28,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_31989.cnf,1.0,0.0,0.0,1.98,0.08,2.18,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_32265.cnf,1.0,0.0,0.0,1.98,0.1,2.14,2.64,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_27427.cnf,1.0,0.0,0.0,1.82,0.08,2.18,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_194.cnf,1.0,0.02,0.02,1.98,0.62,2.08,2.24,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_21705.cnf,1.0,0.0,0.02,1.98,0.22,2.08,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15955.cnf,1.0,0.0,0.0,1.98,0.14,2.14,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_28104.cnf,1.0,0.0,0.0,1.98,0.18,2.12,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_290.cnf,1.0,0.0,0.0,0.94,0.12,2.14,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_21718.cnf,1.0,0.02,0.0,1.96,0.3,2.1,2.26,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_25860.cnf,1.0,0.0,0.0,1.98,0.1,2.2,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_535.cnf,1.0,0.0,0.0,1.98,0.04,2.24,2.62,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7454.cnf,1.0,0.0,0.0,1.16,0.16,2.12,2.34,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_23087.cnf,1.0,0.0,0.0,1.38,0.06,2.22,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_4872.cnf,1.0,0.0,0.0,1.98,0.04,2.26,2.58,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_2182.cnf,1.0,0.0,0.0,1.62,0.08,2.2,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29390.cnf,1.0,0.0,0.0,1.98,0.12,2.14,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_1470.cnf,1.0,0.0,0.0,1.98,0.16,2.12,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29268.cnf,1.0,0.0,0.0,0.2,0.04,2.22,2.64,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_30555.cnf,1.0,0.02,0.0,1.98,0.38,2.06,2.34,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_19709.cnf,1.0,0.0,0.0,1.98,0.18,2.14,2.36,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_16696.cnf,1.0,0.0,0.0,0.9,0.12,2.14,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_155.cnf,1.0,0.0,0.0,1.98,0.04,2.26,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_11723.cnf,1.0,0.0,0.0,1.98,0.1,2.2,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15478.cnf,1.0,0.0,0.0,1.98,0.08,2.18,2.68,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_22912.cnf,1.0,0.0,0.0,1.98,0.18,2.12,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_5082.cnf,1.0,0.0,0.0,1.98,0.04,2.16,2.62,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29746.cnf,1.0,0.0,0.0,0.58,0.04,2.26,2.6,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_14448.cnf,1.0,0.0,0.02,1.98,0.22,2.12,2.28,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_16215.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_32622.cnf,1.0,0.0,0.0,1.98,0.04,2.26,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_18691.cnf,1.0,0.0,0.0,1.98,0.06,2.2,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29348.cnf,1.0,0.0,0.0,1.98,0.1,2.18,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_28454.cnf,1.0,0.0,0.0,1.98,0.1,2.16,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13194.cnf,1.0,0.02,0.0,0.22,0.32,2.08,2.26,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_26937.cnf,1.0,0.0,0.0,1.98,0.08,2.16,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15927.cnf,1.0,0.0,0.0,1.98,0.06,2.26,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_17322.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.62,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_12828.cnf,1.0,0.0,0.0,1.98,0.14,2.16,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_1574.cnf,1.0,0.0,0.0,1.0,0.16,2.12,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15449.cnf,1.0,0.0,0.02,1.98,0.22,2.1,2.34,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13680.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13011.cnf,1.0,0.0,0.0,1.98,0.06,2.16,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_1562.cnf,1.0,0.0,0.0,1.98,0.16,2.16,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_9273.cnf,1.0,0.0,0.0,0.58,0.06,2.24,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_30270.cnf,1.0,0.0,0.0,1.98,0.12,2.1,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_24676.cnf,1.0,0.0,0.0,1.6,0.04,2.2,2.62,2.02
instances/Sat_Data/circuit_fuzz/fuzz_100_23581.cnf,1.0,0.0,0.0,1.98,0.12,2.14,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_18479.cnf,1.0,0.0,0.0,1.98,0.1,2.16,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_14390.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_5272.cnf,1.0,0.0,0.0,1.98,0.12,2.14,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_9659.cnf,1.0,0.0,0.0,0.82,0.06,2.16,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15572.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_21348.cnf,1.0,0.0,0.0,1.98,0.06,2.18,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7823.cnf,1.0,0.0,0.0,1.98,0.04,2.24,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_140.cnf,1.0,0.0,0.0,1.98,0.1,2.18,2.38,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_27807.cnf,1.0,0.0,0.0,0.44,0.06,2.28,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7468.cnf,1.0,0.02,0.0,1.98,0.24,2.1,2.3,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_8700.cnf,1.0,0.02,0.02,1.98,0.44,2.08,2.34,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_27992.cnf,1.0,0.0,0.0,1.98,0.16,2.12,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_20708.cnf,1.0,0.0,0.0,1.98,0.1,2.18,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_23292.cnf,1.0,0.0,0.0,1.98,0.06,2.26,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_24180.cnf,1.0,0.0,0.0,1.98,0.2,2.1,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_11385.cnf,1.0,0.0,0.0,1.98,0.06,2.2,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_23706.cnf,1.0,0.0,0.0,1.98,0.18,2.1,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13098.cnf,1.0,0.0,0.0,1.98,0.08,2.22,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_747.cnf,1.0,0.0,0.0,0.36,0.06,2.24,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_22094.cnf,1.0,0.0,0.0,1.14,0.04,2.3,2.64,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13072.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13727.cnf,1.0,0.0,0.0,1.96,0.06,2.22,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_10807.cnf,1.0,0.0,0.0,0.4,0.06,2.18,2.58,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15786.cnf,1.0,0.0,0.0,1.98,0.06,2.26,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_167.cnf,1.0,0.0,0.0,1.98,0.12,2.24,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_699.cnf,1.0,0.0,0.0,1.98,0.1,2.2,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_14853.cnf,1.0,0.0,0.0,1.98,0.24,2.14,2.34,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_14289.cnf,1.0,0.0,0.0,1.98,0.1,2.14,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_582.cnf,1.0,0.0,0.0,1.98,0.12,2.2,2.38,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_8451.cnf,1.0,0.0,0.0,1.98,0.12,2.14,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_60.cnf,1.0,0.0,0.0,1.98,0.06,2.2,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29783.cnf,1.0,0.0,0.0,1.98,0.22,2.12,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_28075.cnf,1.0,0.0,0.0,1.98,0.2,2.14,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7756.cnf,1.0,0.0,0.0,1.98,0.08,2.16,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_20955.cnf,1.0,0.0,0.0,0.96,0.1,2.18,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_32655.cnf,1.0,0.0,0.0,1.98,0.12,2.12,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_32313.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_32076.cnf,1.0,0.0,0.0,1.98,0.22,2.12,2.36,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_587.cnf,1.0,0.0,0.0,1.98,0.06,2.22,2.58,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_4178.cnf,1.0,0.0,0.0,1.26,0.08,2.24,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_27540.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_3173.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.38,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_23258.cnf,1.0,0.0,0.0,1.98,0.04,2.26,2.68,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_8906.cnf,1.0,0.0,0.0,1.98,0.04,2.28,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_21624.cnf,1.0,0.0,0.0,1.98,0.06,2.14,2.58,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13461.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_31467.cnf,1.0,0.0,0.0,1.98,0.08,2.16,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_22701.cnf,1.0,0.0,0.0,1.98,0.16,2.12,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_4407.cnf,1.0,0.0,0.0,1.98,0.1,2.22,2.6,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_28725.cnf,1.0,0.0,0.0,1.96,0.14,2.2,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29127.cnf,1.0,0.0,0.0,1.98,0.06,2.18,2.62,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_18202.cnf,1.0,0.0,0.0,1.98,0.22,2.12,2.36,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_367.cnf,1.0,0.0,0.0,1.98,0.1,2.16,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_27287.cnf,1.0,0.0,0.0,0.04,0.12,2.18,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_30849.cnf,1.0,0.0,0.0,1.98,0.06,2.24,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_11431.cnf,1.0,0.0,0.0,1.98,0.08,2.14,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_14302.cnf,1.0,0.0,0.0,1.98,0.1,2.18,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_2549.cnf,1.0,0.02,0.0,1.98,0.36,2.08,2.22,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13080.cnf,1.0,0.0,0.0,1.98,0.06,2.18,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_13102.cnf,1.0,0.0,0.0,1.92,0.1,2.2,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_9716.cnf,1.0,0.0,0.0,1.98,0.1,2.24,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_10492.cnf,1.0,0.0,0.0,0.82,0.14,2.18,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_491.cnf,1.0,0.0,0.0,1.98,0.06,2.26,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_26964.cnf,1.0,0.0,0.0,0.38,0.1,2.12,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_26729.cnf,1.0,0.0,0.0,1.98,0.06,2.24,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_10827.cnf,1.0,0.02,0.0,1.98,0.38,2.1,2.36,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_22473.cnf,1.0,0.02,0.0,1.98,0.28,2.1,2.3,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_31750.cnf,1.0,0.0,0.0,1.98,0.08,2.18,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_11858.cnf,1.0,0.0,0.0,1.98,0.14,2.1,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_32695.cnf,1.0,0.0,0.0,1.98,0.06,2.2,2.62,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_934.cnf,1.0,0.0,0.0,0.18,0.08,2.16,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_2035.cnf,1.0,0.0,0.0,1.3,0.06,2.18,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_26639.cnf,1.0,0.0,0.0,1.98,0.04,2.28,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_3880.cnf,1.0,0.0,0.0,1.98,0.04,2.26,2.64,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_19139.cnf,1.0,0.0,0.0,1.74,0.1,2.2,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15075.cnf,1.0,0.0,0.0,1.98,0.06,2.26,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7669.cnf,1.0,0.0,0.0,0.06,0.1,2.16,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_320.cnf,1.0,0.0,0.0,1.98,0.14,2.16,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_27903.cnf,1.0,0.0,0.0,1.98,0.06,2.18,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_17583.cnf,1.0,0.0,0.02,1.98,0.2,2.12,2.38,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_25348.cnf,1.0,0.0,0.0,1.5,0.04,2.22,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_18595.cnf,1.0,0.0,0.0,1.98,0.06,2.2,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_31888.cnf,1.0,0.0,0.0,1.98,0.18,2.14,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15896.cnf,1.0,0.0,0.0,1.98,0.1,2.14,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_8042.cnf,1.0,0.0,0.0,1.98,0.08,2.14,2.5,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_6965.cnf,1.0,0.0,0.0,1.98,0.14,2.16,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_15658.cnf,1.0,0.0,0.0,0.1,0.12,2.16,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29884.cnf,1.0,0.0,0.0,1.98,0.14,2.14,2.42,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_28924.cnf,1.0,0.0,0.0,1.98,0.08,2.24,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_23735.cnf,1.0,0.0,0.0,1.98,0.06,2.26,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_2287.cnf,1.0,0.0,0.0,1.98,0.06,2.22,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7482.cnf,1.0,0.0,0.0,1.98,0.06,2.24,2.58,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_529.cnf,1.0,0.02,0.0,0.64,0.34,2.08,2.28,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_6562.cnf,1.0,0.0,0.0,1.98,0.18,2.14,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7039.cnf,1.0,0.0,0.0,1.98,0.2,2.08,2.36,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_28731.cnf,1.0,0.0,0.02,1.98,0.2,2.1,2.38,2.0
