@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE DIA NUMERIC
@ATTRIBUTE LOBJOIS NUMERIC
@ATTRIBUTE BASE NUMERIC
@ATTRIBUTE UNIT NUMERIC
@ATTRIBUTE SP NUMERIC
@ATTRIBUTE LS NUMERIC
@ATTRIBUTE LP NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
newpol4-6.cnf,1.0,8.36,2.0,4.84,1.42,0.55,4.890000000000001,?,0
mm-2x3-8-8-sb.1.sat05-475.reshuffled-07.cnf,1.0,10.01,2.0,20.35,1.07,2.55,4.57,?,0
Timetable_C_181_E_34_Cl_12_S_6.cnf,1.0,10.01,2.02,25.57,0.02,6.7,4.58,?,42.32570541399946
combined-crypto1-wff-seed-133-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.74,2.0,20.12,0.02,0.49,4.75,?,0
full-bg-gb-7-ce.cnf,1.0,3.57,2.0,20.28,0.35,0.41,4.98,?,0
Timetable_C_437_E_62_Cl_29_S_28.cnf,1.0,10.13,2.02,?,0.81,10.68,6.59,?,140.16541152900027
ps_200_317_70.cnf,1.0,10.06,2.05,?,0.14,9.16,6.02,?,84.4949807690009
Kakuro-easy-149-ext.xml.hg_4.cnf,1.0,10.76,2.15,?,0.14,?,?,?,0
size_4_5_5_i000_w31_r9.cnf,1.0,0.15,2.0,1.28,0.0,0.1,5.34,?,0.4081857170003786
battleship-24-47-sat.cnf,1.0,0.4,2.0,18.63,0.06,0.67,4.92,?,0
6g_5color_170_030_04.cnf,1.0,10.03,2.03,21.740000000000002,0.81,5.04,4.76,?,7.047734936000779
baseballcover13with25_and1positions.cnf,1.0,?,?,?,?,?,?,23.6,49.0784371500049
tseitingrid7x165_shuffled.cnf,1.0,1.17,2.0,0.27,0.01,0.12,5.44,?,0.6707665419999103
ncc_none_21015_5_3_3_0_0_11.cnf,1.0,?,?,?,?,?,?,?,1275.090873336001
Timetable_C_241_E_45_Cl_16_S_16.cnf,1.0,10.01,2.01,34.17,0.93,8.17,5.0600000000000005,?,77.24623850399803
fermat-770131695059117.cnf,1.0,1.9,2.0,0.85,0.04,0.23,5.14,283.25,0
TT7F-33-24C.cnf,1.0,10.06,2.21,42.85,3.43,48.66,8.84,?,0
ncc_none_3047_7_3_3_1_0_1.cnf,1.0,10.03,6.24,?,2.98,30.02,11.969999999999999,?,1015.655929974997
preimage_80r_491m_160h_seed_71.cnf,1.0,10.01,2.0,17.05,0.05,1.69,4.67,?,11.733748863000072
sqrt_ineq_3.c.cnf,1.0,10.03,2.02,33.73,5.28,6.83,4.71,?,38.845318167004734
mp1-blockpuzzle_5x10_s7_free4.cnf,1.0,5.89,2.0,20.490000000000002,1.07,4.35,4.49,?,0
DLTM_twitter845_79_19.cnf,1.0,10.01,2.0,8.709999999999999,0.04,1.4,4.6,120.73,7.045098292997864
size_4_4_4_i4096_r8.cnf,1.0,0.06,2.0,0.55,0.0,0.06,5.52,?,0.3577394690000801
ncc_none_2_17_4_3_0_0_435991723.cnf,1.0,10.46,21.0,?,5.93,33.21,14.42,?,1166.4247013540007
Kakuro-easy-148-ext.xml.hg_8.cnf,1.0,10.93,2.0,?,3.99,?,35.46,?,0
Steiner-9-5-bce.cnf,1.0,0.0,0.18,0.0,0.0,0.0,0.33999999999999997,0.0,0
preimage_80r_493m_160h_seed_457.cnf,1.0,10.01,2.0,16.759999999999998,0.02,1.72,4.62,?,12.486579735999952
Steiner-729-113-bce.cnf,1.0,10.01,2.0,43.97,0.03,16.71,4.4,?,0
rbsat-v2400c266431gyes7.cnf,1.0,10.01,2.0,21.48,11.07,6.12,4.470000000000001,?,0
abw-K-dwt__234.mtx-w51.cnf,1.0,10.01,2.0,3.51,0.03,5.45,4.59,133.83,0
VanDerWaerden_2-3-32_1006.cnf,1.0,10.02,2.0,20.71,0.19,6.09,4.46,?,0
size_4_5_5_i031_w31_r9.cnf,1.0,0.15,2.0,1.26,0.0,0.1,5.359999999999999,?,0.4279452269984176
Timetable_C_151_E_34_Cl_10_S_4.cnf,1.0,10.02,2.02,23.82,0.03,6.36,4.550000000000001,?,36.525070849995245
ncc_none_2_18_9_3_0_0_435991723.cnf,1.0,10.12,?,?,3.37,?,15.71,?,770.0110935330013
vlsat2_15440_1409906.dimacs.cnf,1.0,10.06,2.42,36.67,?,12.9,5.95,?,92.63061252499756
newpol36-4.cnf,1.0,10.66,2.36,?,?,?,?,?,0
DLTM_twitter690_74_16.cnf,1.0,10.01,2.0,10.6,0.02,1.66,4.529999999999999,?,10.549784494003688
ps_200_306_70.cnf,1.0,10.01,2.02,?,0.13,8.71,6.02,?,80.89409614299802
49-133485.cnf,1.0,10.01,2.02,23.950000000000003,2.37,7.74,5.24,?,0
homer17.shuffled.cnf,1.0,0.0,2.0,0.28,0.0,0.03,5.49,?,0.3428110750028281
170104584.cnf,1.0,0.01,2.0,0.01,0.0,0.0,6.3100000000000005,?,0.2560669829999824
mrpp_8x8#24_14.cnf,1.0,10.01,2.0,19.07,0.0,1.69,5.109999999999999,?,3.71392823199858
ps_200_316_70.cnf,1.0,10.05,2.01,?,0.15,9.32,6.18,?,80.72070091799833
ps_300_301_30.cnf,1.0,10.04,2.09,?,0.21,12.86,6.88,?,249.37112270599755
4g_6color_366_060_06.cnf,1.0,10.15,2.05,43.93,20.14,15.41,9.690000000000001,?,40.22490091799409
g2-T83.2.1.cnf,1.0,10.29,2.04,?,?,?,?,?,0
53-131174.cnf,1.0,10.02,2.1,23.46,1.92,7.0,5.109999999999999,?,0
b1904P1-8x8c6h7SAT.cnf,1.0,10.02,2.01,22.16,0.48,6.22,5.0,?,0
abw-K-dwt__234.mtx-w55.cnf,1.0,10.01,2.0,3.66,0.03,5.34,4.58,?,0
170222843.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.2,2.63,0.2412132660028874
grain-53-80-0s0-seed-125-4-init-35.cnf,1.0,1.22,2.0,20.11,0.27,0.85,4.42,?,0
rbsat-v2640c305320g4.cnf,1.0,10.01,2.02,24.05,19.15,6.37,4.5,?,0
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,1.0,10.02,2.01,23.44,0.33,2.96,4.66,?,0
hid-uns-enc-6-1-0-0-0-0-27601.cnf,1.0,0.32,2.0,0.26,0.0,0.13,6.01,?,0
sted5_0x0-157.cnf,1.0,3.0,2.0,20.14,0.23,0.44,4.73,117.0,0
abw-I-ash85.mtx-w25.cnf,1.0,10.01,2.0,1.81,0.02,5.01,4.91,?,0
abw-Q-494_bus.mtx-w242.cnf,1.0,10.2,2.11,?,0.13,16.66,6.57,?,0
170225812.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.3100000000000005,?,0.4225912420006352
Steiner-729-112-bce.cnf,1.0,10.01,2.0,43.68,0.03,16.81,4.390000000000001,?,0
b2005-p2-14x14c17h9-Ser3-0.cnf,1.0,?,?,?,?,?,?,?,0
rook-42-0-1.cnf,1.0,10.01,2.0,26.77,5.35,3.78,4.33,?,0
Kakuro-easy-120-ext.xml.hg_6.cnf,1.0,10.05,2.05,?,4.36,?,?,?,0
fermat-907547022132073.cnf,1.0,1.72,2.0,0.85,0.04,0.23,5.08,?,0
baseballcover11with22_and2positions.cnf,1.0,?,?,?,?,?,?,?,57.92465784199976
cz-alt-3-7.cnf,1.0,10.01,2.0,8.0,1.99,0.73,4.35,?,0
ncc_none_21015_5_3_3_1_0_11.cnf,1.0,?,?,?,?,?,?,?,1277.067479569996
Nb51T6-sc2018.cnf,1.0,?,?,?,?,?,?,?,0
Kakuro-easy-117-ext.xml.hg_5.cnf,1.0,11.27,2.14,?,3.14,?,29.189999999999998,?,0
abw-N-bcsstk07.mtx-w38.cnf,1.0,10.33,2.36,?,0.59,21.05,10.77,?,0
full-bg-gb-8-ce.cnf,1.0,8.72,2.0,20.430000000000003,0.34,0.58,4.960000000000001,?,0
6s20.cnf,1.0,10.01,2.0,21.46,0.21,3.81,4.890000000000001,?,7.549624564999249
170153306.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.25,?,0.2764531649954733
Steiner-135-33-bce.cnf,1.0,0.43,2.0,20.11,0.03,3.44,4.79,?,0
vlsat2_16676_1598591.dimacs.cnf,1.0,10.01,2.72,38.67,?,20.76,6.42,?,149.94223115899513
problem_23.smt2.cnf,1.0,0.89,2.0,0.77,0.02,0.19,5.4,?,1.0519829199984088
ps_200_300_70.cnf,1.0,10.08,2.03,?,0.12,8.88,5.970000000000001,?,85.60672049600544
Timetable_C_497_E_62_Cl_33_S_30.cnf,1.0,10.11,2.03,?,0.92,12.74,7.04,?,156.9479309140006
crafted_n11_d6_c4_num19.cnf,1.0,?,?,?,?,?,?,?,0
baseballcover11with25_and5positions.cnf,1.0,?,?,?,?,?,?,?,65.52304330399784
baseballcover14with25_and1positions.cnf,1.0,?,?,?,?,?,?,?,44.87621714700072
53-131587.cnf,1.0,10.03,2.13,23.46,2.05,7.35,5.17,?,0
4g_5color_168_100_02.cnf,1.0,?,?,?,?,?,?,?,129.453934873
lang23.cnf.gz.CP3-cnfmiter.cnf,1.0,?,?,?,?,?,?,?,0
preimage_80r_491m_160h_seed_7.cnf,1.0,10.01,2.01,18.59,0.03,1.73,4.59,?,12.65468921000138
QG7a-gensys-ukn009.sat05-3849.reshuffled-07.cnf,1.0,3.82,2.0,20.130000000000003,0.12,0.97,5.91,?,0
170154931.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.24,?,0.47492973000044
frb59-26-1.used-as.sat04-891.cnf,1.0,7.46,2.01,20.610000000000003,6.86,5.54,4.33,?,0
abw-O-impcol_d.mtx-w101.cnf,1.0,10.2,2.24,?,0.18,14.43,7.21,?,0
e_rphp096_04.cnf,1.0,0.25,2.0,20.150000000000002,0.01,0.39,5.11,?,1.1568049730049097
size_4_5_5_i032_w31_r9.cnf,1.0,0.15,2.0,1.26,0.0,0.1,5.35,?,0.4988451570025063
baseballcover13with25_and3positions.cnf,1.0,?,?,?,?,?,?,?,58.82468430799781
DLTM_twitter799_70_13.cnf,1.0,10.01,2.0,4.08,0.01,0.63,4.75,?,4.559416349999083
49-133045.cnf,1.0,10.01,2.07,23.46,1.84,7.07,5.16,?,0
ssAES_4-4-4_round_7-10_faultAt_7_fault_injections_2_seed_1564286498.cnf,1.0,2.76,2.0,1.06,0.0,0.2,5.25,?,0
Kakuro-easy-154-ext.xml.hg_4.cnf,1.0,10.58,2.02,76.91,2.1,?,27.18,?,0
abw-I-ash85.mtx-w24.cnf,1.0,10.01,2.0,1.79,0.02,5.23,4.92,?,0
uum12.smt2.cnf,1.0,0.03,2.0,0.45999999999999996,0.01,0.02,6.24,?,0.2610936600030982
VanDerWaerden_2-3-16_238.cnf,1.0,0.1,2.0,20.03,0.02,0.5,4.390000000000001,?,0
ps_300_311_20.cnf,1.0,10.06,2.23,?,0.22,11.0,7.02,?,254.6374954670028
preimage_80r_494m_160h_seed_378.cnf,1.0,10.01,2.01,15.66,0.11,1.53,4.630000000000001,?,11.309983956998622
mp1-9_49.cnf,1.0,0.44,2.0,20.150000000000002,0.04,0.39,4.5600000000000005,?,0
g2-hwmcc15deep-bobpcihm-k31.cnf,1.0,10.01,2.0,?,0.37,20.09,4.52,?,0
w19-49.0.cnf,1.0,8.62,2.0,28.12,0.03,5.14,4.5,67.03,0
ps_200_301_70.cnf,1.0,10.01,2.11,?,0.12,8.67,5.99,?,84.60347660200205
4g_5color_166_100_02.cnf,1.0,?,?,?,?,?,?,?,130.3408062439994
Steiner-243-45-bce.cnf,1.0,3.44,2.0,20.66,0.0,5.1,4.46,?,0
170225515.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.27,?,0.3310188469986315
abw-R-dwt__503.mtx-w64.cnf,1.0,10.28,2.29,?,0.58,25.69,10.91,?,0
problem_21.smt2.cnf,1.0,?,?,?,?,?,?,?,0.9872351680023712
combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.71,2.0,20.099999999999998,0.02,0.49,4.74,?,0
Kakuro-easy-052-ext.xml.hg_4.cnf,1.0,10.08,2.0,34.65,0.56,16.1,10.59,?,0
hid-uns-enc-6-1-0-0-0-0-26462.cnf,1.0,0.32,2.0,0.2,0.0,0.11,6.130000000000001,?,0
tseitingrid7x185_shuffled.cnf,1.0,1.5,2.0,0.32999999999999996,0.01,0.15,5.2,2.36,0.7646041620000688
abw-K-dwt__234.mtx-w54.cnf,1.0,10.01,2.0,3.61,0.03,5.4,4.58,?,0
size_5_5_5_i003_r12.cnf,1.0,0.58,2.0,3.48,0.0,0.21,5.0600000000000005,?,0.5060017590003554
sted2_0x0_n219-342.cnf,1.0,10.01,2.0,20.740000000000002,0.27,3.37,4.970000000000001,115.89,0
fermat-33106286870663.cnf,1.0,1.08,2.0,0.63,0.03,0.18,5.34,?,0
mp1-squ_any_s09x07_c27_bail_UNS.cnf,1.0,0.01,2.0,0.34,0.0,0.13,5.84,?,0
rphp4_090_shuffled.cnf,1.0,0.37,2.0,20.1,0.02,0.49,4.91,?,0.8906043309998495
59-131147.cnf,1.0,10.02,2.02,23.4,2.05,7.02,5.140000000000001,?,0
b2005-p1-12x12c10h7-Ser8-0.cnf,1.0,10.09,2.19,53.75,25.53,12.81,7.48,?,0
Steiner-243-46-bce.cnf,1.0,3.47,2.0,20.689999999999998,0.0,5.61,4.4399999999999995,?,0
3bitadd_32.cnf.gz.CP3-cnfmiter.cnf,1.0,10.01,2.0,?,0.99,?,4.32,?,0
Timetable_C_241_E_45_Cl_16_S_14.cnf,1.0,10.03,2.02,33.09,0.82,7.58,4.970000000000001,?,72.60509673500201
full-bg-gb-6-ce.cnf,1.0,1.45,2.0,19.810000000000002,0.38,0.22,5.0600000000000005,?,0
baseballcover12with23_and2positions.cnf,1.0,?,?,?,?,?,?,?,57.20496407300016
8-5-6.cnf,1.0,10.06,2.02,27.54,25.44,8.96,5.92,?,0
ls15-normalized.cnf.gz.CP3-cnfmiter.cnf,1.0,10.01,2.0,?,7.17,?,4.27,?,0
TT7F-34-26.cnf,1.0,10.04,2.14,50.0,2.98,41.41,8.18,?,0
59-129706.cnf,1.0,10.01,2.0,23.24,1.87,6.99,5.12,?,0
fermat-931960058139995587.cnf,1.0,3.43,2.0,1.3,0.06,0.32,4.94,?,0
post-cbmc-aes-ee-r2.cnf,1.0,10.01,2.01,40.160000000000004,0.44,6.26,4.93,?,0
rbcl_xits_08_UNSAT.cnf,1.0,1.56,2.0,24.59,3.78,3.01,4.140000000000001,?,4.10724878200017
ssAES_4-4-8_round_7-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,1.0,10.01,2.0,24.240000000000002,0.31,3.93,4.68,?,0
Steiner-405-70-bce.cnf,1.0,10.01,2.0,23.59,0.07,5.61,4.32,?,0
dislog_a09_x11_n20.cnf,1.0,10.01,2.0,6.930000000000001,0.01,0.5,5.01,?,2.387536232999992
Timetable_C_392_E_50_Cl_26_S_28.cnf,1.0,10.02,2.11,?,1.47,9.37,6.199999999999999,?,129.853417352002
hid-uns-enc-6-1-0-0-0-0-14492.cnf,1.0,0.34,2.0,0.21,0.0,0.11,6.12,?,0
vlsat2_39552_5878762.dimacs.cnf,1.0,?,?,?,?,?,?,?,463.7193111640008
vlsat2_40170_5970608.dimacs.cnf,1.0,10.3,5.38,?,?,?,?,?,482.1665269129953
vlsat2_15960_1464039.dimacs.cnf,1.0,10.01,2.13,34.85,?,13.49,6.01,?,99.24699774799956
stable-300-0.1-20-98765432130020.cnf,1.0,0.49,2.0,20.28,2.06,5.16,4.26,?,0
22930-0601-11.smt2.cnf,1.0,0.66,2.0,0.63,0.02,0.11,5.34,?,0
combined-crypto1-wff-seed-115-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.74,2.0,20.18,0.03,0.49,4.710000000000001,?,0
traffic_kkb_unknown.cnf,1.0,10.01,2.01,22.76,0.38,7.08,5.16,?,14.501179240000056
DLTM_twitter405_71_12.cnf,1.0,3.78,2.0,1.9500000000000002,0.03,0.29,5.23,?,1.6460326230007922
problem_19.smt2.cnf,1.0,0.87,2.0,20.310000000000002,0.14,0.32,5.4,?,1.7274819769991154
ACG-15-10p1.cnf,1.0,10.03,2.03,52.44,0.29,7.14,5.029999999999999,?,0
dlx1c.ucl.sat.chaff.4.1.bryant.cnf,1.0,1.02,2.0,1.1500000000000001,0.08,0.27,5.029999999999999,?,0.7712161319996085
